Module;Item;ItemType;Property;en-US;fr;nl;ko-KR;it;es;zh-CN;pt;de;en
resourcestrings;UnitLangResources_ImportMetaSingle1;;;"This will copy metadata from single source file,";"Cette opération permet de copier les métadonnées d'un seul fichier source,";"Dir zal metadata kopiëren van één bronbestand,";;"Copia i metadati da un singolo file di origine,";"Esto copiará los metadatos de un único archivo de origen";这将从单个源文件复制元数据，;"Isso copiará os metadados de um único arquivo de origem,";"Dadurch werden Metadaten aus einer einzelnen Quelldatei kopiert,";
resourcestrings;UnitLangResources_ImportMetaSingle2;;;"into currently selected files.";"dans les fichiers actuellement sélectionnés.";"naar de nu geselecteerde bestanden.";;"nei file attualmente selezionati.";"en los archivos actualmente seleccionados.";进入当前选择的文件。;"para os arquivos atualmente selecionados.";"in aktuell ausgewählte Dateien.";
resourcestrings;UnitLangResources_ImportMetaSingle3;;;"Next: 1.Select source file, 2.Select metadata to copy.";"Suivant : 1 : 1. sélectionner le fichier source, 2. sélectionner les métadonnées à copier.";"Vervolg: 1.Selecteer bronbestand,  2.Selecteer metadata om te kopiëren.";;"Avanti: 1.Selezionare il file di origine, 2.Selezionare i metadati da copiare.";"Siguiente: 1.Seleccionar archivo de origen, 2.Seleccionar metadatos a copiar.";"下一步： 1.选择源文件，2.选择要复制的元数据。";"Next (Próximo): 1.Select source file (Selecionar arquivo de origem), 2.Select metadata to copy (Selecionar metadados para copiar).";"Weiter: 1. Quelldatei auswählen, 2. Metadaten zum Kopieren auswählen.";
resourcestrings;UnitLangResources_ImportRecursive1;;;"This will copy metadata from files in another folder";"Ceci copiera les métadonnées des fichiers d'un autre dossier";"Dit zal metadata kopiëren van bestanden in een andere map";;"Copia i metadati dai file di un'altra cartella in";"Esto copiará los metadatos de los archivos de otra carpeta";这将从另一个文件夹中的文件复制元数据;"Isso copiará os metadados dos arquivos em outra pasta";"Dadurch werden Metadaten aus Dateien in einem anderen Ordner kopiert";
resourcestrings;UnitLangResources_ImportRecursive2;;;"into *all* %s files inside currently *selected* folder.";"dans *tous* les fichiers %s du dossier *sélectionné*.";"naar *alle* %s bestanden in de nu geselecteerde map.";;"in *tutti* i file %s presenti nella cartella attualmente *selezionata*.";"en *todos* los archivos %s dentro de la carpeta *seleccionada* actualmente.";"进入当前*已选择*文件夹内的*所有* %s 个文件。";"para *todos* os arquivos %s dentro da pasta atualmente *selecionada*.";"in *alle* %s Dateien im aktuell *ausgewählten* Ordner.";
resourcestrings;UnitLangResources_ImportRecursive3;;;"Only those files will be processed, where";"Seuls les fichiers dont les noms de fichiers source et destination sont identiques seront traités.";"Alleen die bestanden worden verwerkt, waarvan";;"Verranno elaborati solo i file in cui";"Sólo se procesarán los archivos en los que";仅处理那些文件，其中;"Somente os arquivos que serão processados, onde";"Es werden nur die Dateien verarbeitet, bei denen";
resourcestrings;UnitLangResources_ImportRecursive4;;;"source and destination filename is equal.";"le nom de fichier source et le nom de fichier destination sont identiques.";"de bron- en doelbestandsnaam gelijk is.";;"il nome del file di origine e quello del file di destinazione sono uguali.";"de origen y destino sean iguales.";源文件名和目标文件名相同。;"os nomes de arquivo de origem e destino são iguais.";"Quell- und Zieldateiname sind gleich.";
resourcestrings;UnitLangResources_ImportRecursive5;;;"Should files in subfolders also be processed?";"Les fichiers des sous-dossiers doivent-ils également être traités ?";"Moeten bestanden in submappen ook verwerkt worden?";;"Devono essere elaborati anche i file nelle sottocartelle?";"¿Deberían procesarse también los archivos de las subcarpetas?";子文件夹中的文件也应该被处理吗？;"Os arquivos em subpastas também devem ser processados?";"Sollen auch Dateien in Unterordnern verarbeitet werden?";
resourcestrings;UnitLangResources_ImportXMP1;;;"This will import GPS data from XMP sidecar files into";"Cette opération permet d'importer les données GPS des fichiers XMP sidecar dans les fichiers";"Dit zal GPS data importeren van XMP sidecar bestanden in de";;"Questa operazione importerà i dati GPS dai file XMP sidecar in";"Esto importará los datos GPS de los archivos XMP sidecar a";"这会将 GPS 数据从 XMP sidecar 文件导入到";"Isso importará dados de GPS de arquivos XMP sidecar para";"Dadurch werden GPS-Daten aus XMP-Sidecar-Dateien importiert in";
resourcestrings;UnitLangResources_ImportXMP2;;;"Exif GPS region of currently selected files.";"Région GPS Exif des fichiers actuellement sélectionnés.";"Exif GPS regio van de nu geslecteerde bestanden.";;"Exif GPS dei file attualmente selezionati.";"Región GPS Exif de los archivos actualmente seleccionados.";"当前所选文件的 Exif GPS 区域。";"Região GPS Exif dos arquivos atualmente selecionados.";"Exif GPS-Region der aktuell ausgewählten Dateien.";
resourcestrings;UnitLangResources_ImportXMP3;;;"Only those selected files will be processed,";"Seuls les fichiers sélectionnés seront traités,";"Slechts die geselecteerde bestanden worden verwertkt,";;"Verranno elaborati solo i file selezionati,";"Sólo se procesarán los archivos seleccionados,";仅处理那些所选文件，;"Somente os arquivos selecionados serão processados,";"Nur die ausgewählten Dateien werden verarbeitet,";
resourcestrings;UnitLangResources_ImportXMP4;;;"where source and destination filename is equal.";"lorsque les noms de fichiers source et destination sont identiques.";"waarvan de bron- en doelbestandsnaam gelijk zijn.";;"dove il nome del file di origine e di destinazione sono uguali.";"en los que el nombre del archivo de origen y el de destino sean iguales.";其中源文件名和目标文件名相同。;"quando os nomes de arquivo de origem e destino forem iguais.";"wobei Quell- und Zieldateiname gleich sind.";
resourcestrings;UnitLangResources_ImportXMP5;;;"Next: Select folder containing XMP files.";"Suivant : Sélectionner le dossier contenant les fichiers XMP.";"Vervolg: Selecteer map met de XMP bestanden.";;"Avanti: Selezionare la cartella contenente i file XMP.";"Siguiente: Seleccionar carpeta que contiene archivos XMP.";"下一步：选择包含 XMP 文件的文件夹。";"Próximo: Selecione a pasta que contém os arquivos XMP.";"Weiter: Ordner mit XMP-Dateien auswählen.";
resourcestrings;UnitLangResources_NotOpened;;;"Unable to open";"Impossible d'ouvrir";"Kan niet openen";;"Impossibile aprire";"No se puede abrir";无法打开;"Não é possível abrir";"File lists";
resourcestrings;UnitLangResources_NotSupported;;;"File type unsupported";"Type de fichier non pris en charge";"Bestandstype niet ondersteund";;"Tipo di file non supportato";"Tipo de archivo no soportado";不支持的文件类型;"Tipo de arquivo não suportado";"Dateityp nicht unterstützt";
resourcestrings;UnitLangResources_SrCmdSelLeft;;;"Select left diff";"Sélectionner le diff gauche";"Selecteer linkse diff";;"Selezionare il diff. sinistro";"Seleccionar diff izquierda";选择左侧差分;"Selecionar diff esquerda";"Linken Diff auswählen";
resourcestrings;UnitLangResources_SrCmdVerbDiff;;;"Show diff metadata";"Afficher les métadonnées des diff.";"Toon diff metadata";;"Mostra i metadati della diff";"Mostrar metadatos diff";显示差异元数据;"Mostrar metadados de diferenças";"Diff-Metadaten anzeigen";
resourcestrings;UnitLangResources_SrCmdVerbGenThumbs;;;"Generate Thumbnails";"Générer des vignettes";"Genereer Minitaturen";;"Generare miniature";"Generar miniaturas";生成缩略图;"Gerar miniaturas";"Miniaturansichten generieren";
resourcestrings;UnitLangResources_SrCmdVerbGenThumbsSub;;;"Generate Thumbnails (Incl Subdirs)";"Générer des vignettes (y compris les sous-répertoires)";"Genereer Minitaturen (incl submappen)";;"Genera miniature (incluse le sottodirectory)";"Generar miniaturas (incluyendo subdirectorios)";生成缩略图（包括子目录）;"Gerar miniaturas (incluindo subdiretórios)";"Miniaturansichten generieren (inkl. Unterverzeichnisse)";
resourcestrings;UnitLangResources_SrCmdVerbRefresh;;;Refresh;Rafraîchir;Ververs;;Aggiornare;Actualizar;刷新;Atualizar;Aktualisieren;
resourcestrings;UnitLangResources_StrAboutList;;;"About photo";"À propos de la photo";"Over foto";;"Informazioni sulla foto";"Acerca de la foto";关于照片;"Sobre a foto";"Über Foto";
resourcestrings;UnitLangResources_StrAdministrator;;;Administrator:;"Administrateur :";Beheerder:;;Amministratore:;Administrador:;管理员：;Administrador:;Verwalter:;
resourcestrings;UnitLangResources_StrAllDone;;;"All Done";"Tout fait";"Alles gedaan";;"Tutto fatto";"Todo Hecho";全部完成;"Tudo feito";"Alles erledigt";
resourcestrings;UnitLangResources_StrAnyGPSLogFile;;;"Any GPS log file";"N'importe quel fichier journal GPS";"Willekeurig GPS logbestand";;"Qualsiasi file di registro GPS";"Cualquier archivo de registro GPS";"任何 GPS 日志文件";"Qualquer arquivo de registro de GPS";"Jede GPS-Protokolldatei";
resourcestrings;UnitLangResources_StrAvailableData;;;"Available data:";"Données disponibles :";"Beschikbare data:";;"Dati disponibili:";"Datos disponibles:";可用数据：;"Dados disponíveis:";"Verfügbare Daten:";
resourcestrings;UnitLangResources_StrAVerbIsRequired;;;"A Verb is required.";"Un verbe est nécessaire.";"Een Item is vereist.";;"È richiesto un verbo.";"Se requiere un Verbo.";需要一个动词。;"É necessário um verbo.";"Ein Verb ist erforderlich.";
resourcestrings;UnitLangResources_StrBackupOFF;;;"Backup: OFF";"Sauv.: OFF";"Backup: UIT";;"Backup: OFF";"Copia de seguridad: OFF";备份：关闭;"Backup: OFF";"Backup: AUS";
resourcestrings;UnitLangResources_StrBackupON;;;"Backup: ON";"Sauv. : ON";"Backup: AAN";;"Backup: ON";"Copia de seguridad: ON";备份：开启;"Backup: ON";"Backup: AUS";
resourcestrings;UnitLangResources_StrCameraList;;;"Camera settings";"Paramètres de la caméra";"Camera instellingen";;"Impostazioni della telecamera";"Configuración de la cámara";相机设置;"Configurações da câmera";Kameraeinstellungen;
resourcestrings;UnitLangResources_StrCannotSaveGUI;;;"Cannot save GUI settings.";"Impossible de sauvegarder les paramètres de l'interface graphique.";"Kan de GUI instellingen niert opslaan.";;"Impossibile salvare le impostazioni dell'interfaccia grafica.";"No se puede guardar la configuración GUI.";"无法保存 GUI 设置。";"Não é possível salvar as configurações da GUI.";"GUI-Einstellungen können nicht gespeichert werden.";
resourcestrings;UnitLangResources_StrCheck1PreviewImp;;;"Check 1 preview to import";"Vérifier 1 aperçu pour l'importation";"Vink 1 preview aan om te importeren";;"Controllare 1 anteprima da importare";"Marque 1 vista previa para importar";"检查 1 个预览以导入";"Verificar 1 visualização para importar";"1 Vorschau zum Importieren prüfen";
resourcestrings;UnitLangResources_StrCheckAtLeast1Pre;;;"Check at least 1 preview to extract";"Vérifier au moins 1 aperçu pour l'extraction";"Vink minstens 1 preview aan om te extracten";;"Controllare almeno 1 anteprima da estrarre";"Compruebe al menos 1 vista previa para extraer";"检查至少 1 个预览才能提取";"Verifique pelo menos uma visualização para extrair";"Mindestens 1 Vorschau zum Extrahieren prüfen";
resourcestrings;UnitLangResources_StrCheckOffLineProv;;;"Warning GeoCode provider changed to ExifTool.";"Avertissement Le fournisseur de GeoCode a été remplacé par ExifTool.";"Waarschuwing GeoCode provider gewijzigd in ExifTool.";;"Avviso Il provider GeoCode è stato cambiato in ExifTool.";"Advertencia El proveedor de GeoCode ha cambiado a ExifTool.";"警告 GeoCode 提供程序已更改为 ExifTool。";"Aviso: o provedor GeoCode foi alterado para ExifTool.";"Warnung GeoCode-Anbieter auf ExifTool geändert.";
resourcestrings;UnitLangResources_StrCheckTheGeoCodeRe;;;"Check the GeoCode requirements. (Apikey required. Max 1 call per second for a free account)";"Vérifier les exigences du GeoCode. (Apikey requis. 1 appel maximum par seconde pour un compte gratuit)";"Controleer de GeoCode vereisten. (Apikey vereist. Max 1 verzoek per seconde voor een gratis account)";;"Controllare i requisiti del GeoCode. (È necessaria una chiave Api. Massimo 1 chiamata al secondo per un account gratuito).";"Compruebe los requisitos de GeoCode. (Se requiere Apikey. Máximo 1 llamada por segundo para una cuenta gratuita)";"检查地理编码要求。 （需要 APIkey。免费帐户每秒最多调用 1 次）";"Verifique os requisitos do GeoCode. (Apikey necessário. Máximo de 1 chamada por segundo para uma conta gratuita)";"Überprüfen Sie die GeoCode-Anforderungen. (Apikey erforderlich. Maximal 1 Anruf pro Sekunde für ein kostenloses Konto)";
resourcestrings;UnitLangResources_StrChooseFolderContai;;;"Choose folder containing XMP sidecar files";"Choisir le dossier contenant les fichiers XMP sidecar";"Kies map met de XMP sidecar bestanden";;"Scegliere la cartella contenente i file sidecar XMP";"Elija la carpeta que contiene los archivos XMP sidecar";"选择包含 XMP sidecar 文件的文件夹";"Escolha a pasta que contém os arquivos XMP sidecar";"Ordner auswählen, der XMP-Sidecar-Dateien enthält";
resourcestrings;UnitLangResources_StrClickToDisableThi;;;"Click to disable this hint.";"Cliquez pour désactiver cet indice.";"Klik om deze hint te verbergen.";;"Fare clic per disattivare questo suggerimento.";"Haz clic para desactivar esta sugerencia.";单击可禁用此提示。;"Clique para desativar essa dica.";"Klicken Sie, um diesen Hinweis zu deaktivieren.";
resourcestrings;UnitLangResources_strConfigure;;;Configure;Configurer;Configureren;;Configurare;Configurar;配置;Configurar;Konfigurieren;
resourcestrings;UnitLangResources_StrContextMenuFailed;;;"Context menu failed";"Échec du menu contextuel";"Contextmenu mislukt";;"Menu contestuale non riuscito";"Error en el menú contextual";上下文菜单失败;"Falha no menu de contexto";"Kontextmenü fehlgeschlagen";
resourcestrings;UnitLangResources_StrContinueReenabl;;;"Continue ? (Re-enable in Preferences)";"Continuer ? (Réactiver dans les préférences)";"Doorgaan ? (Weer inschakelen in Voorkeuren)";;"Continuare? (Riattivare nelle Preferenze)";"¿Continuar? (Volver a activar en Preferencias)";"继续 ？ （在首选项中重新启用）";"Continuar ? (Reativar em Preferências)";"Weiter ? (In den Einstellungen erneut aktivieren)";
resourcestrings;UnitLangResources_StrCopy;;;Copy;Copie;Copy;;Copia;Copia;"复制

";Cópia;Kopie;
resourcestrings;UnitLangResources_StrCouldNotCompleteC;;;"Could not complete clipboard operation.";"Impossible de terminer l'opération du presse-papiers.";"Kan de klembordbewerking niet voltooien.";;"Impossibile completare l'operazione con gli appunti.";"No se ha podido completar la operación del portapapeles.";无法完成剪贴板操作。;"Não foi possível concluir a operação da área de transferência.";"Der Vorgang in der Zwischenablage konnte nicht abgeschlossen werden.";
resourcestrings;UnitLangResources_StrCustomOptions;;;"Custom options";"Options personnalisées";"Maatwerk opties";;"Opzioni personalizzate";"Opciones personalizadas";自定义选项(t);"Opções personalizadas";"Benutzerdefinierte Optionen";
resourcestrings;UnitLangResources_StrCustomView;;;"Custom view";"Affichage utilisateur";Maatwerk;;"&Vista utente";"Vista usario";自定义视图;"&Visão personalizada";Benutzerdefiniert;
resourcestrings;UnitLangResources_StrDecrement;;;Decrement;Diminuer;Eerder;;Diminuisci;Disminuir;递减;Diminuir;Verringern;
resourcestrings;UnitLangResources_StrDeleteCustom;;;"This will remove all custom defined tags!";"Cela supprimera toutes les balises personnalisées !";"Hiermee worden alle zelf gedefinieerde tags verwijderd!";;"Questo rimuoverà tutti i tag definiti in modo personalizzato!";"Esto eliminará todas las etiquetas definidas por el usuario.";这将删除所有自定义标签！;"Isso removerá todas as tags personalizadas definidas!";"Dadurch werden alle benutzerdefinierten Tags entfernt!";
resourcestrings;UnitLangResources_StrDetails;;;Details;Détails;Details;;Dettagli;Detalles;详细信息;Detalhes;Details;
resourcestrings;UnitLangResources_StrDFilesRemaining;;;"%d Files remaining";"Fichiers restants (%d)";"%d Bestanden resterend";;"%d File rimanenti";"%d Archivos restantes";"剩余 %d 个文件";"%d Arquivos restantes";"%d verbleibende Dateien";
resourcestrings;UnitLangResources_StrERRORExifTool1;;;"ERROR: ExifTool could not be started!";"ERREUR : ExifTool n'a pas pu être démarré !";"FOUT: Kan ExifTool niet starten!";;"ERRORE: Impossibile avviare ExifTool!";"ERROR: ¡No se ha podido iniciar ExifTool!";"错误：ExifTool 无法启动！";"ERRO: Não foi possível iniciar o ExifTool!";"FEHLER: ExifTool konnte nicht gestartet werden!";
resourcestrings;UnitLangResources_StrERRORExifTool2;;;"To resolve this you can:";"Pour résoudre ce problème, vous pouvez";"Om dit op te lossen kun je:";;"Per risolvere il problema è possibile";"Para resolverlo puede";要解决此问题，您可以：;"Para resolver isso, você pode:";"Um dieses Problem zu beheben, können Sie Folgendes tun:";
resourcestrings;UnitLangResources_StrERRORExifTool3;;;"- Install Exiftool in:";"- Installer ExifTool dans :";"- Exiftool installeren in: ";;"- Installare Exiftool in:";"- Instalar Exiftool en:";"- 安装 Exiftool 在：";"- Instalar o Exiftool em:";"- Exiftool installieren in:";
resourcestrings;UnitLangResources_StrERRORExifTool4;;;"- Install Exiftool in a directory in the Windows search sequence.";"- Installer Exiftool dans un répertoire de la séquence de recherche de Windows.";"-Exiftool installeren in een directory die Windows doorzoekt.";;"- Installare Exiftool in una directory della sequenza di ricerca di Windows.";"- Instalar Exiftool en un directorio de la secuencia de búsqueda de Windows.";"- 将 Exiftool 安装在 Windows 搜索序列中的目录中。";"- Instale o Exiftool em um diretório na sequência de pesquisa do Windows.E52+E52+E50";"- Exiftool in einem Verzeichnis in der Windows-Suchreihenfolge installieren.";
resourcestrings;UnitLangResources_StrERRORExifTool5;;;"For example in a directory specified in the PATH environment variable.";"Par exemple, dans un répertoire spécifié dans la variable d'environnement PATH.";"Bijvoorbeeld in een directory opgenomen in de PATH environment variable.";;"Ad esempio in una directory specificata nella variabile d'ambiente PATH.";"Por ejemplo en un directorio especificado en la variable de entorno PATH.";"例如在 PATH 环境变量中指定的目录中。";"Por exemplo, em um diretório especificado na variável de ambiente PATH.";"Zum Beispiel in einem Verzeichnis, das in der Umgebungsvariablen PATH angegeben ist.";
resourcestrings;UnitLangResources_StrERRORExifTool6;;;"For more info see the documentation on the CreateProcess function.";"Pour plus d'informations, voir la documentation sur la fonction CreateProcess.";"Voor meer info zie de CreateProcess functie.";;"Per ulteriori informazioni, consultare la documentazione sulla funzione CreateProcess.";"Para más información consulte la documentación sobre la función CreateProcess.";"有关详细信息，请参阅有关 CreateProcess 函数的文档。";"Para obter mais informações, consulte a documentação sobre a função CreateProcess.";"Weitere Informationen finden Sie in der Dokumentation zur CreateProcess-Funktion.";
resourcestrings;UnitLangResources_StrERRORExifTool7;;;"- Locate Exiftool.exe and specify the location in Preferences/Other.";"- Localiser Exiftool.exe et spécifier l'emplacement dans Préférences/Autres.";"- Vind Exiftool.exe en vul die locatie in bij Voorkeuren/Overige.";;"- Individuare Exiftool.exe e specificare la posizione in Preferenze/Altro.";"- Localice Exiftool.exe y especifique la ubicación en Preferencias/Otros.";"- 找到 Exiftool.exe 并在“首选项/其他”中指定位置。";"- Localize o Exiftool.exe e especifique o local em Preferences/Other (Preferências/Outros).";"- Suchen Sie Exiftool.exe und geben Sie den Speicherort unter Einstellungen/Andere an.";
resourcestrings;UnitLangResources_StrERRORExifTool8;;;"Metadata operations disabled.";"Opérations sur les métadonnées désactivées.";"Metadata functies uitgeschakeld.";;"Operazioni sui metadati disabilitate.";"Operaciones de metadatos desactivadas.";元数据操作已禁用。;"Operações de metadados desativadas.";"Metadatenoperationen deaktiviert.";
resourcestrings;UnitLangResources_StrERRORExifTool9;;;"Note: This error can also occur if you browse to an invalid folder. A DVD/CD drive without media, or a Zip file, for example.";"Remarque : cette erreur peut également se produire si vous naviguez vers un dossier non valide. Un lecteur de DVD/CD sans support, ou un fichier Zip, par exemple.";"NB: Deze fout kan ook optreden als je een ongeldige drectory opent. Een DVD/CDrom speler zonder media, of een Zip bestand, bijvoorbeeld.";;"Nota: questo errore può verificarsi anche se si naviga in una cartella non valida. Ad esempio, un'unità DVD/CD senza supporti o un file Zip.";"Nota: Este error también puede producirse si navega a una carpeta no válida. Una unidad de DVD/CD sin soporte, o un archivo Zip, por ejemplo.";"注意：如果您浏览到无效文件夹，也可能会发生此错误。 例如，没有介质的 DVD/CD 驱动器或 Zip 文件。";"Observação: Esse erro também pode ocorrer se você navegar para uma pasta inválida. Uma unidade de DVD/CD sem mídia ou um arquivo Zip, por exemplo.";"Hinweis: Dieser Fehler kann auch auftreten, wenn Sie zu einem ungültigen Ordner navigieren. Ein DVD-/CD-Laufwerk ohne Datenträger oder ein Zip Datei, zum Beispiel.";
resourcestrings;UnitLangResources_StrErrorPositioningHo;;;"Error positioning Home";"Erreur de positionnement Accueil";"Fout bij positioneren Thuis";;"Errore posizionamento Home";"Error posicionando Inicio";错误定位首页;"Erro ao posicionar a página inicial";"Fehlerplatzierung Home";
resourcestrings;UnitLangResources_StrErrorSSCreating;;;"Error %s %s creating thumbnail for: %s";"Erreur %s %s créant une vignette pour : %s";"Fout %s %s tijdens maken miniatuur voor: %s";;"Errore %s %s creazione miniatura per: %s";"Error %s %s creando miniatura para: %s";"创建缩略图时出现 %s %s 错误：%s";"Erro %s %s ao criar miniatura para: %s";"Fehler %s %s beim Erstellen der Miniaturansicht für: %s";
resourcestrings;UnitLangResources_StrExecuteDSUpdat;;;"Execute: %d %s Update/ET Direct status: %s";"Exécuter : %d %s Update/ET Direct status : %s";"Executie: %d %s Bijwerk/ET Direct status: %s";;"Eseguire: %d %s Stato di aggiornamento/ET Direct: %s";"Ejecutar: %d %s Estado de actualización/ET Direct: %s";"执行：%d %s 更新/ET 直接状态：%s";"Executar: %d %s Status de atualização/ET Direct: %s";"Ausführen: %d %s Update/ET Direktstatus: %s";
resourcestrings;UnitLangResources_StrExifToolExecuted;;;"ExifTool executed";"ExifTool exécuté";"ExifTool uitgevoerd";;"ExifTool eseguito";"ExifTool ejecutado";"ExifTool 已执行";"ExifTool executado";"ExifTool ausgeführt";
resourcestrings;UnitLangResources_StrExifToolNotExecute;;;"ExifTool not executed!?";"ExifTool n'a pas été exécuté ?";"ExifTool niet uitgevoerd!?";;"ExifTool non eseguito!?";"¿ExifTool no se ejecuta?";"ExifTool 未执行？";"O ExifTool não foi executado?";"ExifTool nicht ausgeführt!?";
resourcestrings;UnitLangResources_StrExistSavedFirst;;;"Existing definitions will be saved first!";"Les définitions existantes sont sauvegardées en premier !";"Bestaande definities worden eerst opgeslagen!";;"Le definizioni esistenti saranno salvate per prime!";"Las definiciones existentes se guardarán primero!";将首先保存现有定义！;"As definições existentes serão salvas primeiro!";"Vorhandene Definitionen werden zuerst gespeichert!";
resourcestrings;UnitLangResources_StrExportIni;;;"Export ini file";"Exporter le fichier ini";"Ini bestand exporteren";;"Esportare file ini";"Exportar archivo ini";"导出 ini 文件";"Exportar arquivo ini";"Ini-Datei exportieren";
resourcestrings;UnitLangResources_StrExtractingPreviewF;;;"Extracting preview from: %s";"Extraction de l'aperçu de : %s";"Extraheren preview van %s";;"Estrazione dell'anteprima da: %s";"Extrayendo vista previa de: %s";正在从以下位置提取预览：%s;"Extraindo visualização de: %s";"Vorschau wird extrahiert von: %s";
resourcestrings;UnitLangResources_StrExtractingPreviews;;;"Extracting previews";"Extraction des aperçus";"Extraheren previews";;"Estrazione di anteprime";"Extrayendo vista previa";提取预览;"Extraindo visualizações";"Vorschauen extrahieren";
resourcestrings;UnitLangResources_StrFileFilters;;;"File filters";"Filtres de fichiers";Bestandsfilters;;"Filtri per file";"Filtros de archivo";文件过滤器;"Filtros de arquivo";"Filter für Dateien";
resourcestrings;UnitLangResources_StrFileLists;;;"File lists";"Listes de fichiers";Bestandslijsten;;"Elenchi di file";"Listas de archivos";文件列表;"Listas de arquivos";Dateilisten;
resourcestrings;UnitLangResources_StrFiles;;;"Files/Folders: %d";"Fichiers/dossiers : %d";"Bestanden/Mappen: %d";;"File/cartelle: %d";"Archivos/Carpetas: %d";文件/文件夹：%d;"Arquivos/Pastas: %d";"Dateien/Ordner: %d";
resourcestrings;UnitLangResources_StrFileSExistsOver;;;"File %s exists. Overwrite?";"Le fichier %s existe. Écraser ?";"Bestand %s bestaat al. Overschrijven?";;"Il file %s esiste. Sovrascrivere?";"El archivo %s existe. ¿Sobrescribir?";"文件 %s 存在。 覆盖？";"O arquivo %s existe. Sobrescrever?";"Datei %s existiert. Überschreiben?";
resourcestrings;UnitLangResources_StrFilesRenamed;;;" file(s) renamed.";" fichier(s) renommé(s).";" Bestand(en) hernoemd.";;" file rinominato.";" Archivo(s) renombrado(s).";文件已重命名。;" arquivo(s) renomeado(s).";" Datei(en) umbenannt.";
